GeneSymbol	log2FC	p_value_or_padj	Dataset	Comparison	Direction	In_CTD_marker	In_CTD_therapeutic	In_CTD_inferred	In_GeneCards_AD	Species
CYBB	4.66	1.41E-06	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
CYP1A2	2	5.00E-05	PRJEB38104	Canine_DGEs	Up	yes	yes	no	yes	Canine
CYTH4	2.66	0.00089	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	yes	Canine
DAPP1	3.06	0.000634	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
DNAH11	2.1	5.00E-05	PRJEB38104	Canine_DGEs	Up	yes	yes	no	no	Canine
DRAM1	3.09	0.000102	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
EBF2	3.9	2.29E-09	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
EGFR	3.63	2.11E-09	PRJNA1148493	Canine_DGEs	Up	yes	yes	yes	no	Canine
EGR4	2.4	0.023	GSE58442_24	Canine_24h	Up	yes	yes	no	no	Canine
EVI2B	2.23	3.00E-07	GSE74136_48	Canine_48h	Up	yes	yes	no	no	Canine
EVI2B	3.33	4.71E-06	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
F13A1	17.32	1.61E-14	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
F3	3.09	5.32E-06	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
FABP3	-2.86	2.41E-14	PRJNA1148493	Canine_DGEs	Down	yes	yes	no	no	Canine
FABP9	-2.2	5.00E-05	PRJEB38104	Canine_DGEs	Down	yes	yes	no	no	Canine
FAM210B	2.24	0.015	GSE58442_24	Canine_24h	Up	yes	yes	no	no	Canine
FCER1A	2.15	5.50E-07	GSE74136_48	Canine_48h	Up	yes	yes	no	yes	Canine
FCGR1A	3.34	9.70E-07	GSE58442_24	Canine_24h	Up	yes	yes	no	no	Canine
FCGR1A	2.91	0.000384	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
FCGR3A	2.75	8.20E-07	GSE58442_24	Canine_24h	Up	yes	yes	no	yes	Canine
FCGR3A	2.31	4.00E-08	GSE74136_48	Canine_48h	Up	yes	yes	no	yes	Canine
FCGR3B	2.75	8.20E-07	GSE58442_24	Canine_24h	Up	yes	yes	no	yes	Canine
FCGR3B	2.31	4.00E-08	GSE74136_48	Canine_48h	Up	yes	yes	no	yes	Canine
FCMR	3.26	1.90E-06	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
FERMT3	2.13	1.90E-06	GSE74136_48	Canine_48h	Up	yes	yes	no	yes	Canine
FFAR2	2.6	2.30E-05	GSE58442_24	Canine_24h	Up	yes	yes	no	no	Canine
FGF6	2.51	0.0021	GSE58442_24	Canine_24h	Up	yes	yes	no	no	Canine
FGFR2	2.75	4.84E-05	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	yes	Canine
FGG	5.81	1.00E-07	GSE58442_24	Canine_24h	Up	yes	yes	no	no	Canine
FGL1	7.63	4.48E-12	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
FHL1	-2.25	8.70E-07	GSE74136_48	Canine_48h	Down	yes	yes	no	no	Canine
FMO2	-2.51	9.80E-06	GSE74136_48	Canine_48h	Down	yes	yes	no	no	Canine
FMO2	18.81	1.33E-11	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
FMO3	3.26	4.81E-05	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
FOS	3.26	1.20E-08	GSE58442_24	Canine_24h	Up	yes	yes	yes	yes	Canine
FOXS1	2.42	9.77E-05	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
FREM1	2.23	7.22E-05	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
FRZB	-2.02	3.40E-05	GSE74136_48	Canine_48h	Down	yes	yes	no	no	Canine
FZD2	3.18	5.67E-06	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
GABRD	-2.82	0.000467	PRJNA1148493	Canine_DGEs	Down	yes	yes	no	no	Canine
GAL3ST1	-2.35	1.40E-06	GSE58442_24	Canine_24h	Down	yes	yes	no	no	Canine
GATM	2.23	1.80E-08	GSE58442_24	Canine_24h	Up	yes	yes	no	yes	Canine
GATM	2.25	3.70E-07	GSE74136_48	Canine_48h	Up	yes	yes	no	yes	Canine
GBP5	2.22	1.30E-05	GSE58442_24	Canine_24h	Up	yes	yes	no	no	Canine
GBP6	2.41	1.10E-08	GSE58442_24	Canine_24h	Up	yes	yes	no	no	Canine
GHRH	-8.57	2.03E-06	PRJNA1148493	Canine_DGEs	Down	yes	yes	no	no	Canine
GIMAP4	3.54	9.40E-08	GSE58442_24	Canine_24h	Up	yes	yes	no	no	Canine
GJD2	-2.4	0.000776	PRJNA1148493	Canine_DGEs	Down	yes	yes	no	no	Canine
GLRB	-2.03	5.40E-05	GSE74136_48	Canine_48h	Down	yes	yes	no	no	Canine
GNA15	3.12	0.00572	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
GPR171	2.38	7.40E-09	GSE58442_24	Canine_24h	Up	yes	yes	no	no	Canine
GPR171	3.02	4.60E-08	GSE74136_48	Canine_48h	Up	yes	yes	no	no	Canine
GPR65	2.14	5.20E-08	GSE58442_24	Canine_24h	Up	yes	yes	no	no	Canine
GPR65	2.11	1.90E-05	GSE74136_48	Canine_48h	Up	yes	yes	no	no	Canine
GPX2	-2.88	1.74E-08	PRJNA1148493	Canine_DGEs	Down	yes	yes	no	no	Canine
GSDMC	2.05	8.80E-06	GSE74136_48	Canine_48h	Up	yes	yes	no	no	Canine
HAVCR1	2.23	0.00189	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	yes	Canine
HCLS1	3.9	1.52E-09	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
HHEX	2.89	0.0024	GSE58442_24	Canine_24h	Up	yes	yes	no	no	Canine
HK2	3.95	1.71E-06	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
HLA-DMA	2.4	5.50E-08	GSE74136_48	Canine_48h	Up	yes	yes	no	yes	Canine
HLA-DMB	2.04	1.50E-07	GSE74136_48	Canine_48h	Up	yes	yes	no	yes	Canine
HLA-DQA2	2.2	7.70E-07	GSE74136_48	Canine_48h	Up	yes	yes	no	yes	Canine
HLA-DQB1	2.01	1.70E-08	GSE58442_24	Canine_24h	Up	yes	yes	no	yes	Canine
HMGCS2	2.5	5.00E-05	PRJEB38104	Canine_DGEs	Up	yes	yes	no	no	Canine
HP	3.14	1.30E-05	GSE58442_24	Canine_24h	Up	yes	yes	no	no	Canine
HP	2.32	0.00035	GSE74136_48	Canine_48h	Up	yes	yes	no	no	Canine
HVCN1	2.41	4.70E-05	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
ICAM3	3.33	0.00024	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
ICOS	2.12	2.00E-08	GSE58442_24	Canine_24h	Up	yes	yes	no	yes	Canine
ID4	-2.92	0.01	PRJNA1148493	Canine_DGEs	Down	yes	yes	no	no	Canine
IDO1	2.08	8.80E-06	GSE74136_48	Canine_48h	Up	yes	yes	no	yes	Canine
IFNAR2	2.39	7.10E-07	GSE58442_24	Canine_24h	Up	yes	yes	no	no	Canine
IGFBP5	4.05	1.24E-08	PRJNA1148493	Canine_DGEs	Up	yes	yes	yes	no	Canine
IKZF1	3.04	2.26E-05	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	yes	Canine
IL10RA	3.95	3.51E-06	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	yes	Canine
IL13	2.46	2.50E-07	GSE58442_24	Canine_24h	Up	yes	yes	no	yes	Canine
IL13	2.44	1.80E-06	GSE74136_48	Canine_48h	Up	yes	yes	no	yes	Canine
IL13RA2	3.17	3.80E-13	GSE58442_24	Canine_24h	Up	yes	yes	no	yes	Canine
IL13RA2	2.6	0.00048	GSE74136_24	Canine_24h	Up	yes	yes	no	yes	Canine
IL13RA2	4.19	8.80E-08	GSE74136_48	Canine_48h	Up	yes	yes	no	yes	Canine
IL18	5.07	1.22E-06	PRJNA1148493	Canine_DGEs	Up	yes	yes	yes	yes	Canine
IL18BP	2.2	6.90E-06	GSE58442_24	Canine_24h	Up	yes	yes	no	no	Canine
IL18BP	2.15	3.40E-06	GSE74136_48	Canine_48h	Up	yes	yes	no	no	Canine
IL18RAP	3.09	1.20E-05	GSE58442_24	Canine_24h	Up	yes	yes	no	yes	Canine
IL20	2.16	0.014	GSE58442_24	Canine_24h	Up	yes	yes	no	no	Canine
IL2RG	3.78	0.000403	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
IL33	2.37	1.50E-08	GSE58442_24	Canine_24h	Up	yes	yes	no	yes	Canine
IL36G	-2.1	5.00E-05	PRJEB38104	Canine_DGEs	Down	yes	yes	no	yes	Canine
IL6	4.52	2.70E-06	GSE58442_24	Canine_24h	Up	yes	yes	no	yes	Canine
IL6	2.02	0.009	GSE74136_48	Canine_48h	Up	yes	yes	no	yes	Canine
IL9	3.09	5.60E-05	GSE74136_48	Canine_48h	Up	yes	yes	no	yes	Canine
INPP5D	3.8	2.28E-11	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	yes	Canine
IQCD	3.47	5.68E-06	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
IRAK4	3.01	0.0009	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
ISG20	2.26	5.80E-05	GSE58442_24	Canine_24h	Up	yes	yes	no	no	Canine
ISM1	4.5	5.03E-07	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
ITGAM	4.66	4.25E-11	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	yes	Canine
ITGB2	3.94	1.26E-07	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	yes	Canine
JAML	3.84	4.39E-05	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
KCNE4	2.15	2.00E-05	GSE58442_24	Canine_24h	Up	yes	yes	no	no	Canine
KCNH6	-3.27	2.67E-09	PRJNA1148493	Canine_DGEs	Down	yes	yes	no	no	Canine
KLHL41	-2.86	0.22	GSE74136_48	Canine_48h	Down	yes	yes	no	no	Canine
LAPTM5	4.82	6.31E-08	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
LBP	2.43	2.40E-05	GSE58442_24	Canine_24h	Up	yes	yes	no	no	Canine
LEP	-2.46	9.90E-06	GSE74136_48	Canine_48h	Down	yes	yes	no	yes	Canine
LEP	2	5.00E-05	PRJEB38104	Canine_DGEs	Up	yes	yes	no	yes	Canine
LGR6	-2.48	0.000448	PRJNA1148493	Canine_DGEs	Down	yes	yes	no	no	Canine
LPAR3	-2.19	7.63E-05	PRJNA1148493	Canine_DGEs	Down	yes	yes	no	no	Canine
LRRC25	3.38	0.00196	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
LTB	2.14	1.50E-08	GSE58442_24	Canine_24h	Up	yes	yes	no	no	Canine
LTB	2.48	2.60E-07	GSE74136_48	Canine_48h	Up	yes	yes	no	no	Canine
LTB	3.06	0.00867	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
LVRN	2.98	2.22E-07	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
LY86	2.11	2.70E-05	GSE58442_24	Canine_24h	Up	yes	yes	no	no	Canine
LY86	4.5	2.90E-05	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
LYG1	-2.02	0.022	GSE39278_L	Canine_DGEs	Down	yes	yes	no	no	Canine
LYN	2.93	2.04E-06	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	yes	Canine
MB	-2.05	0.2	GSE74136_48	Canine_48h	Down	yes	yes	no	no	Canine
MCEMP1	2.17	0.00011	GSE58442_24	Canine_24h	Up	yes	yes	no	no	Canine
MEOX1	2.9	3.66E-05	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
METTL22	-2.29	6.24E-10	PRJNA1148493	Canine_DGEs	Down	yes	yes	no	no	Canine
MILR1	3.37	0.000512	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
MLN	2	0.00056	GSE58442_24	Canine_24h	Up	yes	yes	no	no	Canine
MMP1	2.2	0.023	GSE58442_24	Canine_24h	Up	yes	yes	no	yes	Canine
MMP12	2.8	5.10E-07	GSE58442_24	Canine_24h	Up	yes	yes	no	yes	Canine
MPEG1	7.77	2.73E-11	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
MRC1	2.47	7.90E-12	GSE58442_24	Canine_24h	Up	yes	yes	no	no	Canine
MRC1	2.09	4.70E-07	GSE74136_48	Canine_48h	Up	yes	yes	no	no	Canine
MRC1	4	3.51E-08	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
MRGPRD	-2.39	0.00351	PRJNA1148493	Canine_DGEs	Down	yes	yes	no	no	Canine
MSR1	2.01	0.0012	GSE58442_24	Canine_24h	Up	yes	yes	no	no	Canine
MSR1	4.28	8.81E-07	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
MT-CO1	2.61	1.74E-05	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
MYBPC1	-2.73	0.12	GSE74136_48	Canine_48h	Down	yes	yes	no	no	Canine
MYBPH	2.58	0.0027	GSE58442_24	Canine_24h	Up	yes	yes	no	no	Canine
MYH1	-2.65	0.2	GSE74136_48	Canine_48h	Down	yes	yes	no	no	Canine
MYH2	-4.91	0.044	GSE74136_48	Canine_48h	Down	yes	yes	no	no	Canine
MYL1	-3.8	0.11	GSE74136_48	Canine_48h	Down	yes	yes	no	no	Canine
MYLPF	-3.65	0.087	GSE74136_48	Canine_48h	Down	yes	yes	no	no	Canine
MYO1A	-2.36	1.92E-09	PRJNA1148493	Canine_DGEs	Down	yes	yes	no	no	Canine
MYO1F	3.24	6.45E-06	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
MYOZ1	-2.36	0.22	GSE74136_48	Canine_48h	Down	yes	yes	no	no	Canine
NCAN	-2.36	0.000324	PRJNA1148493	Canine_DGEs	Down	yes	yes	no	no	Canine
NCF4	2.45	2.40E-06	GSE58442_24	Canine_24h	Up	yes	yes	no	yes	Canine
NCF4	3.55	0.000285	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	yes	Canine
NCKAP1L	3.15	7.18E-06	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	yes	Canine
NEIL1	-2.56	2.29E-09	PRJNA1148493	Canine_DGEs	Down	yes	yes	no	no	Canine
NFAM1	7.29	1.13E-06	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
